POLICY_NUMBER,PLAN_CODE,CLIENT_CODE,SUM_ASSURED,MODAL_PREMIUM,ISSUE_DATE,TYPE,POLICY_STATUS,SURRENDER_DATE,PAYMENT_MODE
36461,166,2,25000.0,1763,2020-06-24,E,IN-FORCE,,1
4842,114,21,15000.0,1561,2020-03-18,A,IN-FORCE,,12
10473,24,39,250000.0,420,2020-06-09,A,IN-FORCE,,1
9874,105,40,12500.0,1355,2020-06-04,A,IN-FORCE,,12
2279,115,41,25000.0,1518,2020-02-29,A,IN-FORCE,,12
35726,119,55,120000.0,2798,2020-06-12,E,IN-FORCE,,12
10324,115,63,30000.0,2163,2020-06-06,A,IN-FORCE,,12
26553,136,76,117512.5,2430,2020-03-04,E,IN-FORCE,,12
22222,165,81,25000.0,1763,2020-02-29,E,IN-FORCE,,1
4237,43,93,375.0,2029,2020-04-30,A,IN-FORCE,,12
32709,166,97,125000.0,2781,2020-05-15,E,IN-FORCE,,12
2385,6,98,625000.0,860,2020-02-04,A,IN-FORCE,,12
37219,132,110,25000.0,2661,2020-06-18,E,IN-FORCE,,12
3514,36,127,66000.0,2397,2020-02-28,A,LAPSE,,1
23384,128,128,337500.0,2182,2020-02-21,E,IN-FORCE,,12
36095,121,133,66508.5,1794,2020-06-11,E,IN-FORCE,,12
22581,167,134,625000.0,1822,2020-04-03,E,IN-FORCE,,12
243,43,149,375.0,2188,2020-01-31,A,IN-FORCE,,12
21413,119,173,225000.0,610,2020-01-31,E,IN-FORCE,,12
946,61,182,500.0,2865,2020-01-23,A,IN-FORCE,,12
27355,136,192,75000.0,2037,2020-03-14,E,IN-FORCE,,1
35222,121,193,54778.8,2016,2020-06-05,E,IN-FORCE,,12
27883,121,227,247806.0,746,2020-03-31,E,IN-FORCE,,12
22625,136,233,195000.0,2829,2020-02-10,E,IN-FORCE,,1
33952,165,235,250000.0,1446,2020-06-02,E,IN-FORCE,,3
24289,136,248,50000.0,2660,2020-02-25,E,IN-FORCE,,1
29583,166,253,125000.0,2675,2020-04-29,E,IN-FORCE,,1
9866,105,280,12500.0,387,2020-06-05,A,IN-FORCE,,12
18855,167,281,250000.0,2190,2020-01-14,E,IN-FORCE,,3
38733,136,283,450000.0,576,2020-06-26,E,IN-FORCE,,1
3259,114,284,75000.0,594,2020-03-09,A,IN-FORCE,,12
22645,136,290,251812.5,1020,2020-02-17,E,IN-FORCE,,12
38318,121,291,48256.8,452,2020-06-23,E,IN-FORCE,,12
7623,27,294,62500.0,2490,2020-05-04,A,IN-FORCE,,12
27075,136,295,25000.0,1448,2020-03-24,E,IN-FORCE,,1
30403,167,314,125000.0,2265,2020-04-08,E,IN-FORCE,,1
11784,3,331,125000.0,2742,2020-06-16,A,IN-FORCE,,1
7183,105,349,12500.0,1204,2020-04-28,A,IN-FORCE,,12
10879,2,354,50000.0,907,2020-06-16,A,IN-FORCE,,12
8251,96,367,250000.0,1346,2020-05-21,A,IN-FORCE,,12
11681,7,371,78500.0,2176,2020-06-23,A,IN-FORCE,,12
28398,136,373,25000.0,543,2020-03-24,E,IN-FORCE,,12
33331,167,379,180000.0,916,2020-06-18,E,IN-FORCE,,1
28387,166,380,762820.0,2939,2020-05-29,E,IN-FORCE,,12
12982,115,404,37500.0,605,2020-06-25,A,IN-FORCE,,12
39182,128,406,675000.0,1841,2020-06-25,E,IN-FORCE,,12
15484,167,419,25000.0,1371,2020-01-21,E,SURRENDERED,2021-02-15,1
8773,105,434,50000.0,1149,2020-05-19,A,IN-FORCE,,12
39663,136,442,2500000.0,611,2020-06-27,E,IN-FORCE,,12
25755,120,443,177327.0,2107,2020-02-28,E,IN-FORCE,,12
30882,127,444,1350450.0,2904,2020-04-17,E,IN-FORCE,,12
21447,120,459,31666.5,450,2020-01-31,E,IN-FORCE,,12
8021,105,460,12500.0,1039,2020-05-13,A,IN-FORCE,,1
36222,128,461,675000.0,611,2020-06-22,E,IN-FORCE,,12
6161,96,466,250000.0,637,2020-04-17,A,IN-FORCE,,12
23122,128,470,675000.0,2283,2020-02-12,E,IN-FORCE,,12
19125,136,479,315000.0,1354,2020-01-22,E,IN-FORCE,,1
18858,136,486,62025.0,2345,2020-02-18,E,IN-FORCE,,12
31624,136,498,75000.0,932,2020-04-30,E,IN-FORCE,,12
31627,136,498,75000.0,2059,2020-05-19,E,IN-FORCE,,12
10963,2,527,125000.0,247,2020-06-11,A,IN-FORCE,,12
10927,2,531,125000.0,1216,2020-06-17,A,IN-FORCE,,1
13086,27,535,125000.0,504,2020-06-27,A,IN-FORCE,,12
25672,167,552,125000.0,1946,2020-03-20,E,IN-FORCE,,1
2553,27,558,62500.0,1069,2020-02-10,A,LAPSE,,1
35760,136,561,25000.0,2036,2020-06-22,E,IN-FORCE,,12
38101,136,562,2250000.0,1884,2020-06-23,E,IN-FORCE,,12
27323,136,604,37500.0,728,2020-03-11,E,IN-FORCE,,12
4655,43,627,375.0,1897,2020-04-09,A,IN-FORCE,,12
4653,43,628,375.0,2969,2020-04-09,A,IN-FORCE,,12
