CLIENT_CODE,AGE,MARITAL_STATUS,GENDER,INCOME,POSTCODE,LASTUPDATE
21,E,M,F,120000,76300,2020-12-26
39,E,D,F,72000,41400,2023-06-23
40,E,M,F,48000,41400,2023-01-01
41,E,S,M,108000,47400,2021-10-20
55,D,S,F,250000,41250,2022-03-02
63,D,M,F,36000,68100,2022-12-18
76,E,M,F,72000,50450,2020-03-14
81,D,S,M,100000,51200,2021-04-27
93,D,D,M,108000,52000,2020-04-12
97,D,M,F,36000,51200,2022-02-23
98,C,S,M,48000,42000,2021-04-17
110,E,M,M,84000,81100,2022-03-04
127,B,S,M,60000,80300,2023-05-08
128,E,M,F,48000,76300,2021-03-28
133,E,M,F,72000,81100,2023-05-09
134,D,M,M,50000,41200,2021-02-05
149,D,M,M,120000,52000,2022-04-11
173,E,M,M,48000,51200,2021-08-09
182,D,M,F,108000,80300,2022-06-07
192,E,M,M,72000,68100,2020-09-06
193,E,S,M,48000,75000,2021-01-24
227,E,M,F,72000,41250,2021-10-25
233,E,M,M,120000,41200,2023-02-24
235,D,M,M,48000,41200,2020-06-12
248,D,M,M,60000,42000,2021-04-02
253,D,M,M,500000,68100,2022-08-14
280,E,S,M,48000,41400,2022-08-23
281,D,M,M,108000,50450,2021-10-27
283,C,S,F,60000,47400,2020-04-03
284,E,M,M,60000,80300,2020-10-09
290,E,S,F,500000,75000,2021-10-16
291,D,M,F,250000,47400,2022-06-22
294,D,W,F,48000,52000,2023-01-03
295,D,M,M,108000,75000,2020-07-13
314,C,M,M,500000,81100,2023-02-16
331,E,M,M,36000,76300,2020-12-18
349,D,M,F,36000,80300,2021-10-28
354,B,S,F,48000,76300,2023-02-01
367,D,M,M,500000,75000,2020-12-04
371,B,S,M,250000,68100,2022-03-23
373,E,M,M,36000,52000,2022-01-08
379,C,M,M,60000,47400,2021-09-28
380,C,M,M,50000,41250,2020-03-17
404,E,M,F,36000,10470,2020-11-19
406,E,M,M,250000,75000,2022-06-01
419,D,M,M,36000,42000,2020-05-09
434,E,M,M,60000,41200,2021-06-24
442,B,S,M,100000,76300,2022-05-07
443,D,M,F,50000,11500,2023-01-17
444,D,M,M,48000,11500,2023-06-01
459,E,M,F,72000,41200,2023-02-04
460,D,M,M,48000,47400,2022-10-22
461,D,S,M,48000,75000,2022-02-16
466,D,M,M,48000,76300,2020-10-26
470,E,M,M,84000,52000,2023-03-20
479,D,M,M,72000,10470,2022-08-27
486,E,M,M,500000,81100,2021-08-12
498,D,M,F,36000,75000,2022-07-04
498,D,M,F,72000,76300,2020-05-25
527,E,M,M,48000,10470,2021-10-29
531,D,M,F,36000,68100,2023-06-17
535,E,S,F,84000,51200,2022-09-08
552,E,M,M,108000,52000,2020-01-10
558,D,S,M,500000,41250,2021-10-15
561,E,M,M,72000,80300,2022-12-31
562,E,M,M,100000,41400,2022-05-23
604,E,M,M,100000,81100,2020-04-11
627,D,M,M,50000,41250,2022-12-18
628,D,M,F,50000,41200,2022-09-18
629,C,M,F,48000,51200,2020-05-02
649,D,M,F,60000,51200,2023-02-24
660,A,S,M,0,68100,2023-05-12
660,A,S,M,0,52000,2020-12-13
677,D,S,M,60000,42000,2023-02-06
685,D,M,F,48000,50450,2021-11-21
692,D,M,F,250000,50450,2021-05-26
697,D,S,F,60000,11500,2021-10-01
708,E,S,F,60000,10470,2021-07-07
712,D,M,M,120000,41250,2020-08-25
732,B,S,M,60000,47400,2021-08-10
741,B,S,M,60000,41250,2022-11-07
764,D,S,F,108000,51200,2021-12-17
765,D,M,M,48000,75000,2020-02-24
772,D,M,F,50000,41400,2020-08-31
808,E,M,F,48000,41400,2022-11-24
809,B,S,F,500000,52000,2021-07-18
811,C,M,M,48000,41400,2021-05-07
817,E,D,F,120000,41200,2022-02-14
820,C,M,F,50000,47400,2021-08-16
826,B,S,F,72000,41250,2021-12-27
836,D,M,M,72000,50450,2022-08-14
837,C,M,M,500000,10470,2023-06-21
841,C,M,F,120000,75000,2022-11-26
848,D,M,M,48000,50450,2022-03-13
859,D,M,M,100000,76300,2022-03-03
860,D,S,F,60000,41400,2020-06-06
872,D,M,M,72000,52000,2022-04-23
872,D,M,M,36000,81100,2021-04-06
890,E,M,F,48000,68100,2023-02-26
902,E,M,F,100000,47400,2022-09-10
904,D,S,F,36000,75000,2020-04-16
905,D,M,M,108000,50450,2022-11-28
912,B,S,M,36000,11500,2022-12-08
925,C,M,F,84000,51200,2020-06-21
934,C,M,F,250000,42000,2022-04-03
959,D,M,F,48000,42000,2023-01-06
965,D,M,F,36000,68100,2020-09-05
966,E,M,F,60000,47400,2021-11-10
968,B,S,M,36000,50450,2020-07-29
973,E,M,M,108000,41250,2020-02-23
974,C,M,F,108000,50450,2022-05-01
989,D,D,F,60000,68100,2022-08-18
993,C,M,M,36000,80300,2022-11-21
1001,E,M,F,36000,41400,2020-09-19
1018,D,M,M,36000,51200,2021-03-25
1028,D,M,F,120000,50450,2023-06-10
1031,D,M,M,84000,47400,2020-12-02
1034,D,M,F,500000,41200,2022-08-24
1035,D,M,M,48000,41200,2021-09-01
1050,D,M,M,120000,41250,2020-08-17
1062,D,M,F,108000,50450,2022-07-17
1062,D,M,F,60000,76300,2023-03-30
1086,D,M,M,84000,10470,2022-12-23
1088,C,M,M,36000,80300,2020-11-26
1092,D,M,F,84000,76300,2020-05-26
1093,B,S,M,100000,41400,2022-05-14
1100,E,M,F,84000,52000,2023-05-11
1102,D,M,M,48000,76300,2022-10-30
1110,E,M,F,60000,42000,2021-07-23
1119,D,M,F,60000,41200,2020-08-16
