POLICY_NUMBER,PLAN_CODE,CLIENT_CODE,SUM_ASSURED,MODAL_PREMIUM,ISSUE_DATE,TYPE,POLICY_STATUS,SURRENDER_DATE,PAYMENT_MODE
36461,166,2,25000,1763,2020-06-24 00:00:00,E,IN-FORCE,,1
4842,114,21,15000,1561,2020-03-18 00:00:00,A,IN-FORCE,,12
10473,24,39,250000,420,2020-06-09 00:00:00,A,IN-FORCE,,1
9874,105,40,12500,1355,2020-06-04 00:00:00,A,IN-FORCE,,12
2279,115,41,25000,1518,2020-02-29 00:00:00,A,IN-FORCE,,12
35726,119,55,120000,2798,2020-06-12 00:00:00,E,IN-FORCE,,12
10324,115,63,30000,2163,2020-06-06 00:00:00,A,IN-FORCE,,12
26553,136,76,117512.5,2430,2020-03-04 00:00:00,E,IN-FORCE,,12
22222,165,81,25000,1763,2020-02-29 00:00:00,E,IN-FORCE,,1
4237,43,93,375,2029,2020-04-30 00:00:00,A,IN-FORCE,,12
32709,166,97,125000,2781,2020-05-15 00:00:00,E,IN-FORCE,,12
2385,6,98,625000,860,2020-02-04 00:00:00,A,IN-FORCE,,12
37219,132,110,25000,2661,2020-06-18 00:00:00,E,IN-FORCE,,12
3514,36,127,66000,2397,2020-02-28 00:00:00,A,LAPSE,,1
23384,128,128,337500,2182,2020-02-21 00:00:00,E,IN-FORCE,,12
36095,121,133,66508.5,1794,2020-06-11 00:00:00,E,IN-FORCE,,12
22581,167,134,625000,1822,2020-04-03 00:00:00,E,IN-FORCE,,12
243,43,149,375,2188,2020-01-31 00:00:00,A,IN-FORCE,,12
21413,119,173,225000,610,2020-01-31 00:00:00,E,IN-FORCE,,12
946,61,182,500,2865,2020-01-23 00:00:00,A,IN-FORCE,,12
27355,136,192,75000,2037,2020-03-14 00:00:00,E,IN-FORCE,,1
35222,121,193,54778.8,2016,2020-06-05 00:00:00,E,IN-FORCE,,12
27883,121,227,247806,746,2020-03-31 00:00:00,E,IN-FORCE,,12
22625,136,233,195000,2829,2020-02-10 00:00:00,E,IN-FORCE,,1
33952,165,235,250000,1446,2020-06-02 00:00:00,E,IN-FORCE,,3
24289,136,248,50000,2660,2020-02-25 00:00:00,E,IN-FORCE,,1
29583,166,253,125000,2675,2020-04-29 00:00:00,E,IN-FORCE,,1
9866,105,280,12500,387,2020-06-05 00:00:00,A,IN-FORCE,,12
18855,167,281,250000,2190,2020-01-14 00:00:00,E,IN-FORCE,,3
38733,136,283,450000,576,2020-06-26 00:00:00,E,IN-FORCE,,1
3259,114,284,75000,594,2020-03-09 00:00:00,A,IN-FORCE,,12
22645,136,290,251812.5,1020,2020-02-17 00:00:00,E,IN-FORCE,,12
38318,121,291,48256.8,452,2020-06-23 00:00:00,E,IN-FORCE,,12
7623,27,294,62500,2490,2020-05-04 00:00:00,A,IN-FORCE,,12
27075,136,295,25000,1448,2020-03-24 00:00:00,E,IN-FORCE,,1
30403,167,314,125000,2265,2020-04-08 00:00:00,E,IN-FORCE,,1
11784,3,331,125000,2742,2020-06-16 00:00:00,A,IN-FORCE,,1
7183,105,349,12500,1204,2020-04-28 00:00:00,A,IN-FORCE,,12
10879,2,354,50000,907,2020-06-16 00:00:00,A,IN-FORCE,,12
