CLIENT_CODE,AGE,MARITAL_STATUS,GENDER,INCOME,POSTCODE,LASTUPDATE,
21,E,M,F,120000,76300,26/12/2020,
39,E,D,F,72000,41400,23/6/2023,
40,E,M,F,48000,41400,1/1/2023,
41,E,S,M,108000,47400,20/10/2021,
55,D,S,F,250000,41250,2/3/2022,
63,D,M,F,36000,68100,18/12/2022,
76,E,M,F,72000,50450,14/3/2020,
81,D,S,M,100000,51200,27/4/2021,
93,D,D,M,108000,52000,12/4/2020,
97,D,M,F,36000,51200,23/2/2022,
98,C,,M,48000,42000,17/4/2021,
110,E,M,M,84000,81100,4/3/2022,
127,B,S,M,60000,80300,8/5/2023,
128,E,M,F,48000,76300,28/3/2021,
133,E,M,F,72000,81100,9/5/2023,
134,D,M,M,50000,41200,5/2/2021,
149,D,M,M,120000,52000,11/4/2022,
173,E,M,M,48000,51200,9/8/2021,
182,D,M,F,108000,80300,7/6/2022,
192,E,M,M,72000,68100,6/9/2020,
193,E,S,M,48000,75000,24/1/2021,
227,E,M,F,72000,41250,25/10/2021,
233,E,M,M,120000,41200,24/2/2023,
235,D,M,M,48000,41200,12/6/2020,
248,D,M,M,60000,42000,2/4/2021,
253,D,M,M,500000,68100,14/8/2022,
280,E,S,M,48000,41400,23/8/2022,
281,D,M,M,108000,50450,27/10/2021,
283,C,S,F,60000,47400,3/4/2020,
284,E,M,M,60000,80300,9/10/2020,
290,E,S,F,500000,75000,16/10/2021,
291,D,M,F,250000,47400,22/6/2022,
294,D,W,F,48000,52000,3/1/2023,
295,D,M,M,108000,75000,13/7/2020,
314,C,M,M,500000,81100,16/2/2023,
331,E,M,M,36000,76300,18/12/2020,
349,D,M,F,36000,80300,28/10/2021,
354,B,S,F,48000,76300,1/2/2023,
367,D,M,M,500000,75000,4/12/2020,
371,B,S,M,250000,68100,23/3/2022,
373,E,M,M,36000,52000,8/1/2022,
379,C,M,M,60000,47400,28/9/2021,
380,C,M,M,50000,41250,17/3/2020,
404,E,M,F,36000,10470,19/11/2020,
406,E,M,M,250000,75000,1/6/2022,
419,D,M,M,36000,42000,9/5/2020,
434,E,M,M,60000,41200,24/6/2021,
442,B,S,M,100000,76300,7/5/2022,
443,D,M,F,50000,11500,17/1/2023,
444,D,M,M,48000,11500,1/6/2023,
459,E,M,F,72000,41200,4/2/2023,
460,D,M,M,48000,47400,22/10/2022,
461,D,S,M,48000,75000,16/2/2022,
466,D,M,M,48000,76300,26/10/2020,
470,E,M,M,84000,52000,20/3/2023,
479,D,M,M,72000,10470,27/8/2022,
486,E,M,M,500000,81100,12/8/2021,
498,D,M,F,36000,75000,4/7/2022,
498,D,M,F,72000,76300,25/5/2020,
527,E,M,M,48000,10470,29/10/2021,
531,D,M,F,36000,68100,17/6/2023,
535,E,S,F,84000,51200,8/9/2022,
552,E,M,M,108000,52000,10/1/2020,
558,D,S,M,500000,41250,15/10/2021,
561,E,M,M,72000,80300,31/12/2022,
562,E,M,M,100000,41400,23/5/2022,
604,E,M,M,100000,81100,11/4/2020,
627,D,M,M,50000,41250,18/12/2022,
628,D,M,F,50000,41200,18/9/2022,
629,C,M,F,48000,51200,2/5/2020,
649,D,M,F,60000,51200,24/2/2023,
660,A,,M,0,68100,12/5/2023,
660,A,,M,0,52000,13/12/2020,
677,D,S,M,60000,42000,6/2/2023,
685,D,M,F,48000,50450,21/11/2021,
692,D,M,F,250000,50450,26/5/2021,
697,D,S,F,60000,11500,1/10/2021,
708,E,S,F,60000,10470,7/7/2021,
712,D,M,M,120000,41250,25/8/2020,
732,B,S,M,60000,47400,10/8/2021,
741,B,S,M,60000,41250,7/11/2022,
764,D,S,F,108000,51200,17/12/2021,
765,D,M,M,48000,75000,24/2/2020,
772,D,M,F,50000,41400,31/8/2020,
808,E,M,F,48000,41400,24/11/2022,
809,B,S,F,500000,52000,18/7/2021,
811,C,M,M,48000,41400,7/5/2021,
817,E,D,F,120000,41200,14/2/2022,
820,C,M,F,50000,47400,16/8/2021,
826,B,S,F,72000,41250,27/12/2021,
836,D,M,M,72000,50450,14/8/2022,
837,C,M,M,500000,10470,21/6/2023,
841,C,M,F,120000,75000,26/11/2022,
848,D,M,M,48000,50450,13/3/2022,
859,D,M,M,100000,76300,3/3/2022,
860,D,S,F,60000,41400,6/6/2020,
872,D,M,M,72000,52000,23/4/2022,
872,D,M,M,36000,81100,6/4/2021,
890,E,M,F,48000,68100,26/2/2023,
902,E,M,F,100000,47400,10/9/2022,
904,D,S,F,36000,75000,16/4/2020,
905,D,M,M,108000,50450,28/11/2022,
912,B,S,M,36000,11500,8/12/2022,
925,C,M,F,84000,51200,21/6/2020,
934,C,M,F,250000,42000,3/4/2022,
959,D,M,F,48000,42000,6/1/2023,
965,D,M,F,36000,68100,5/9/2020,
966,E,M,F,60000,47400,10/11/2021,
968,B,S,M,36000,50450,29/7/2020,
973,E,M,M,108000,41250,23/2/2020,
974,C,M,F,108000,50450,1/5/2022,
989,D,D,F,60000,68100,18/8/2022,
993,C,M,M,36000,80300,21/11/2022,
1001,E,M,F,36000,41400,19/9/2020,
1018,D,M,M,36000,51200,25/3/2021,
1028,D,M,F,120000,50450,10/6/2023,
1031,D,M,M,84000,47400,2/12/2020,
1034,D,M,F,500000,41200,24/8/2022,
1035,D,M,M,48000,41200,1/9/2021,
1050,D,M,M,120000,41250,17/8/2020,
1062,D,M,F,108000,50450,17/7/2022,
1062,D,M,F,60000,76300,30/3/2023,
1086,D,M,M,84000,10470,23/12/2022,
1088,C,M,M,36000,80300,26/11/2020,
1092,D,M,F,84000,76300,26/5/2020,
1093,B,S,M,100000,41400,14/5/2022,
1100,E,M,F,84000,52000,11/5/2023,
1102,D,M,M,48000,76300,30/10/2022,
1110,E,M,F,60000,42000,23/7/2021,
